epoch,train_mse_std,val_mse_std
1,0.09280618925798528,0.03653067350387573
2,0.020407334673243967,0.013427373953163624
3,0.01248181310790494,0.011218752712011337
4,0.009139638785715512,0.008113672025501728
5,0.007206833567231948,0.006713571026921272
6,0.00646867060189355,0.006309085059911013
7,0.006007502650607112,0.0054871137253940105
8,0.005524129960073032,0.005152435973286629
9,0.005176793548944228,0.004752081353217363
10,0.004761822098590284,0.004598751664161682
11,0.004380111098612984,0.0049853078089654446
12,0.004011476258330143,0.004047060385346413
13,0.0037998409388021615,0.0037499761674553156
14,0.003481738631983017,0.0037978575564920902
15,0.0033088673693187523,0.003472751472145319
16,0.0031392879950536425,0.0033187868539243937
17,0.0029987619593450066,0.0030348587315529585
18,0.002819560652716218,0.0027693226002156734
19,0.0027007637528440416,0.0029406147077679634
20,0.002569799028614526,0.0028723953291773796
21,0.0024870564678847328,0.0026441977825015783
22,0.002392289023786797,0.00239706807769835
23,0.002282937071788409,0.002380694029852748
24,0.0021967876951978073,0.0025901717599481344
25,0.002163024891424972,0.0024446831084787846
26,0.0020972538268673735,0.002292565768584609
27,0.0020594242119555527,0.002147227991372347
28,0.0020264244762460415,0.0021358984522521496
29,0.001931873589015176,0.002339895348995924
30,0.0019155262658283987,0.0024001747369766235
31,0.001896750751433305,0.0019522389629855752
32,0.0018836074032849706,0.0023082573898136616
33,0.0017999264774920668,0.001912896055728197
34,0.0017818796358597371,0.0020629570353776217
35,0.0017553970733379955,0.0018527270294725895
36,0.001708338546849297,0.0018829884938895702
37,0.001715752352867616,0.0019027157686650753
38,0.0016735007644203615,0.0018574874848127365
39,0.0016610424274364163,0.0019803124014288187
40,0.0016369180950903124,0.0017519276589155197
41,0.001565374069531334,0.001790593727491796
42,0.001577124187200955,0.0018302006646990776
43,0.0015398305855688027,0.0018256324110552669
44,0.0015540417573002712,0.001763362786732614
45,0.0014992496477596639,0.0016863311175256968
46,0.0014893984696844854,0.0017638965509831905
47,0.0014697251984231528,0.0018132624682039022
48,0.001443904400288112,0.0017547718016430736
49,0.001504618806893881,0.0018050106009468436
50,0.0014243490246534892,0.0016453757416456938
51,0.0013854226884491728,0.0016806075582280755
